"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 20 21:05:21 GMT 2023","Wed Sep 20 21:05:23 GMT 2023","2400","Login","with right credentials","","login_page_spec","","can successfully log in","Location - spec/login_page_spec.rb:23"
"broken","Wed Sep 20 21:05:23 GMT 2023","Wed Sep 20 21:05:24 GMT 2023","965","Login","with wrong credentials","","login_page_spec","","cannot log in","Location - spec/login_page_spec.rb:31"
